title,totalTime,ingredients,instructions,image
Italian Chicken Cacciatore ,80,"['1/4 cup olive oil, divided', '1 onion, diced', '1/4 cup all-purpose flour', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '8 chicken thighs', '1/2 cup dry white wine', '2 (14.5 ounce) cans diced tomatoes', '2 (6 ounce) cans tomato paste', '1/4 teaspoon white sugar, or more to taste', 'salt and ground black pepper to taste', '1/2 cup chicken broth, or more as needed', '1/2 cup black olives, pitted', '1 tablespoon chopped fresh parsley', '1 tablespoon torn basil leaves']","Heat 2 tablespoons olive oil in a skillet over medium heat and cook onion, stirring often, until soft and translucent, about 5 minutes. Transfer to a pot.
Combine flour, 1/2 teaspoon salt, and 1/4 teaspoon pepper in a large bowl. Toss chicken thighs in the flour mixture until evenly coated.
Heat remaining 2 tablespoons olive oil in the skillet over medium heat, add chicken thighs, and brown on one side, without turning, for 5 minutes. Turn and cook until browned on the other side, about 5 minutes more. Transfer browned chicken thighs to the pot.
Pour white wine into the skillet; bring to a boil. Stir to loosen all the browned bits of chicken and flavors in the skillet pour into the pot. Add diced tomatoes, tomato paste, and sugar; season with salt and pepper. Add as much chicken stock as needed to cover the chicken. Cover pot and simmer over medium heat, stirring occasionally, until chicken is no longer pink in the center, about 45 minutes.
Stir in olives, parsley, and basil. Stir to heat through.
",https://images.media-allrecipes.com/userphotos/250x250/4561718.jpg
Easy Caponata,56,"['2 stalks stalk celery, chopped into 1/4-inch pieces', '1/2 cup olive oil', '1 onion, thinly sliced', '1 medium eggplant, chopped into bite-size pieces', '2 red bell peppers, thinly sliced', '2 zucchini, cubed', '1 3/4 cups tomato puree (passata)', '1/2 cup white vinegar', '1 tablespoon white sugar', '10 black olives, pitted', '2 tablespoons raisins', '2 tablespoons pine nuts', '1 teaspoon capers', 'salt and ground black pepper to taste', '10 leaves basil, chopped']","Bring a large pot of lightly salted water to a boil. Add celery and cook uncovered until softened, about 1 minute. Drain in a colander and immediately immerse in ice water for several minutes to stop the cooking process. Drain.
Heat oil in a large non-stick skillet over medium heat; add onion and celery and cook until soft and translucent, about 5 minutes. Add eggplant, red bell peppers, and zucchini and cook until slightly softened, about 5 minutes. Stir in tomato puree, vinegar, and sugar. Cook until the vegetables are tender, about 15 minutes. Add olives, raisins, pine nuts, and capers. Season with salt and pepper and cook until flavors are well combined, about 5 minutes.
Remove skillet from heat; stir in chopped basil. Cool and serve at room temperature.
",https://images.media-allrecipes.com/userphotos/250x250/4548530.jpg
Kashmiri Lamb,125,"['4 dried red chile peppers (such as cayenne)', '3 long, green fresh chile peppers (such as Indian Jwala)', '1 teaspoon cumin seeds', '1 teaspoon Kashmiri garam masala', '1 (1 inch) piece fresh ginger root, peeled and grated', '5 cloves garlic, crushed', '1/4 cup dried unsweetened coconut', '3 tomatoes, chopped', '6 tablespoons vegetable oil', '2 large onions, thinly sliced', '2 pounds lamb meat, cut into 1 1/2-inch cubes', 'salt to taste', '1/2 teaspoon ground turmeric', '1 cup plain yogurt', '1/2 teaspoon saffron threads', '20 whole blanched almonds', '1/4 cup chopped fresh cilantro']","Place red chiles, green chiles, cumin seeds, garam masala, ginger, garlic, grated coconut, and tomatoes into a blender; pulse several times to chop, then blend into a smooth paste.
Heat vegetable oil in a large skillet or Dutch oven over medium heat. Stir in onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Reduce heat to medium-low, and continue cooking and stirring until the onion is very tender and golden brown, 10 to 15 minutes more.
Stir the spice paste into the onion and cook and stir until the oil separates from the mixture, about 3 minutes.
Stir in lamb pieces and salt. Cook, stirring frequently over medium-high heat, until the lamb pieces are browned on all sides, about 8 minutes.
Mix in yogurt, saffron, and blanched almonds until well combined.
Reduce the heat to low and simmer, covered, until the meat is tender and the gravy is thick, about 1 hour.
Garnish the curry with chopped cilantro before serving.
",https://images.media-allrecipes.com/userphotos/250x250/811005.jpg
Frittata di Zucchine e Fiori di Zucca (Italian Courgette Frittata),64,"['3 tablespoons extra-virgin olive oil, divided', '1 small white onion, finely chopped', '1 bunch parsley, stems and leaves chopped separately', '3 zucchini, cut into long, thin strips', 'salt and ground black pepper to taste', '7 1/2 cups zucchini blossoms, pistils removed', '6 eggs', '3 tablespoons grated Parmesan cheese', '1 tablespoon grated Pecorino Romano cheese', '4 leaves fresh mint, chopped']","Heat 2 tablespoons olive oil in a large skillet over medium heat. Add onion and parsley stems; cook and stir until onion is translucent, about 5 minutes. Add zucchini and salt; cook and stir until softened, about 5 minutes.
Stir zucchini blossoms into the skillet. Reduce heat to medium-low, cover, and cook for 10 minutes. Uncover skillet and cook until moisture evaporates, 2 to 3 minutes more.
Whisk parsley leaves, eggs, Parmesan cheese, Pecorino Romano cheese, and mint together in a bowl. Fold in zucchini mixture from the skillet. Mix well; season with salt and pepper.
Heat remaining 1 tablespoon oil in a large skillet over high heat. Pour in egg mixture and spread evenly across the skillet. Cook for 2 minutes. Prick surface in several places with a fork. Reduce heat to low and cook for 5 minutes. Remove from heat and cover; let stand until top is just set, about 5 minutes.
Invert frittata onto a large plate and slide back into the skillet. Cook over low heat until second side is set, about 5 minutes more. Remove from heat and let stand 5 to 10 minutes before serving.
",https://images.media-allrecipes.com/userphotos/250x250/4549118.jpg
Melanzana alla Parmigiana (Perfect Eggplant Parmigiana),77,"['1/2 cup extra-virgin olive oil, or as needed', '6 eggplants, trimmed and cut into 1/2-inch thick slices', 'salt to taste', '2 cups tomato puree', '1 tablespoon olive oil, or more to taste', '2 cloves garlic', '1 bunch fresh basil, divided', '18 ounces fresh mozzarella cheese, drained and sliced', 'dried oregano, to taste', '4 ounces grated Parmesan cheese']","Heat about 1 inch extra-virgin olive oil in a deep skillet over medium heat. Pat eggplant slices dry with a paper towel and fry eggplant in batches in the hot oil until golden, 2 to 3 minutes per side. Transfer eggplant to a paper towel-lined plate using a slotted spoon; season with salt.
Combine tomato puree, 1 tablespoon olive oil, garlic, salt, and 4 basil leaves in a saucepan; simmer over medium heat for 10 minutes. Remove garlic from sauce.
Preheat oven to 375 degrees F (190 degrees C). Lightly grease a baking dish.
Place a layer of fried eggplant in the baking dish and cover with a layer of tomato sauce. Top with a layer of mozzarella cheese, oregano, Parmesan cheese, and chopped basil leaves, in that order. Continue layering in the same order with remaining ingredients, ending with a layer of mozzarella cheese and a drizzle of olive oil.
Bake in the preheated oven until heated through and cheeses are melted, about 40 minutes. Let stand a few minutes before slicing.
",https://images.media-allrecipes.com/userphotos/250x250/5128092.jpg
Chickpea Curry,40,"['2 tablespoons vegetable oil', '2 onions, minced', '2 cloves garlic, minced', '2 teaspoons fresh ginger root, finely chopped', '6 whole cloves', '2 (2 inch) sticks cinnamon, crushed', '1 teaspoon ground cumin', '1 teaspoon ground coriander', 'salt', '1 teaspoon cayenne pepper', '1 teaspoon ground turmeric', '2 (15 ounce) cans garbanzo beans', '1 cup chopped fresh cilantro']","Heat oil in a large frying pan over medium heat, and fry onions until tender.
Stir in garlic, ginger, cloves, cinnamon, cumin, coriander, salt, cayenne, and turmeric. Cook for 1 minute over medium heat, stirring constantly. Mix in garbanzo beans and their liquid. Continue to cook and stir until all ingredients are well blended and heated through. Remove from heat. Stir in cilantro just before serving, reserving 1 tablespoon for garnish.
",https://images.media-allrecipes.com/userphotos/250x250/163375.jpg
Baingan Bharta (Eggplant Curry),60,"['1 large eggplant', '2 tablespoons vegetable oil', '1 teaspoon cumin seeds', '1 medium onion, thinly sliced', '1 tablespoon ginger garlic paste', '1 tablespoon curry powder', '1 tomato, diced', '1/2 cup plain yogurt', '1 fresh jalapeno chile pepper, finely chopped', '1 teaspoon salt', '1/4 bunch cilantro, finely chopped']","Preheat oven to 450 degrees F (230 degrees C).
Place eggplant on a medium baking sheet. Bake 20 to 30 minutes in the preheated oven, until tender. Remove from heat, cool, peel, and chop.
Heat oil in a medium saucepan over medium heat. Mix in cumin seeds and onion. Cook and stir until onion is tender.
Mix ginger garlic paste, curry powder, and tomato into the saucepan, and cook about 1 minute. Stir in yogurt. Mix in eggplant and jalapeno pepper, and season with salt. Cover, and cook 10 minutes over high heat. Remove cover, reduce heat to low, and continue cooking about 5 minutes. Garnish with cilantro to serve.
",https://images.media-allrecipes.com/userphotos/250x250/14597.jpg
Aloo Phujia,30,"['1 onion, chopped', '1/4 cup vegetable oil', '1 pound potatoes, peeled and cubed', '1 teaspoon salt', '1/2 teaspoon cayenne pepper', '1/2 teaspoon ground turmeric', '1/4 teaspoon ground cumin', '2 tomatoes, chopped']","Lightly brown onion in oil in a medium size skillet.
Stir in salt, cayenne, turmeric and cumin. Add potatoes and cook 10 minutes stirring occasionally.
Add tomatoes, cover pan and cook until potatoes are soft, about 10 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/695663.jpg
Indian Tandoori Chicken,0,"['2 pounds chicken, cut into pieces', '1 teaspoon salt', '1 lemon, juiced', '1 1/4 cups plain yogurt', '1/2 onion, finely chopped', '1 clove garlic, minced', '1 teaspoon grated fresh ginger root', '2 teaspoons garam masala', '1 teaspoon cayenne pepper', '1 teaspoon yellow food coloring', '1 teaspoon red food coloring', '2 teaspoons finely chopped cilantro', '1 lemon, cut into wedges']","Remove skin from chicken pieces, and cut slits into them lengthwise. Place in a shallow dish. Sprinkle both sides of chicken with salt and lemon juice. Set aside 20 minutes.
In a medium bowl, combine yogurt, onion, garlic, ginger, garam masala, and cayenne pepper. Mix until smooth. Stir in yellow and red food coloring. Spread yogurt mixture over chicken. Cover, and refrigerate for 6 to 24 hours (the longer the better).
Preheat an outdoor grill for medium high heat, and lightly oil grate.
Cook chicken on grill until no longer pink and juices run clear. Garnish with cilantro and lemon wedges.
",https://images.media-allrecipes.com/userphotos/250x250/419396.jpg
Grilled Chicken Thighs Tandoori,535,"['2 (6 ounce) containers plain yogurt', '2 teaspoons kosher salt', '1 teaspoon black pepper', '1/2 teaspoon ground cloves', '2 tablespoons freshly grated ginger', '3 cloves garlic, minced', '4 teaspoons paprika', '2 teaspoons ground cumin', '2 teaspoons ground cinnamon', '2 teaspoons ground coriander', '16 chicken thighs', 'olive oil spray']","In a medium bowl, stir together yogurt, salt, pepper, cloves, and ginger. Mix in garlic, paprika, cumin, cinnamon, and coriander. Set aside.
Rinse chicken under cold water, and pat dry with paper towels. Place chicken in a large resealable plastic bag. Pour yogurt mixture over chicken, press air out of bag, and seal. Turn the bag over several times to distribute marinade. Place bag in a bowl, and refrigerate 8 hours, or overnight, turning bag occasionally.
Preheat an outdoor grill for direct medium heat.
Remove chicken from bag, and discard marinade. With paper towels, wipe off excess marinade. Spray chicken pieces with olive oil spray.
Place chicken on the grill, and cook about 2 minutes. Turn, and cook 2 minutes more. Then arrange the chicken to receive indirect heat, and cook approximately 35 to 40 minutes, to an internal temperature of 180 degrees F.
",https://images.media-allrecipes.com/userphotos/250x250/122209.jpg
Dal Makhani (Indian Lentils),255,"['1 cup lentils', '1/4 cup dry kidney beans (optional)', 'water to cover', '5 cups water', '2 tablespoons salt', '2 tablespoons vegetable oil', '1 tablespoon cumin seeds', '4 cardamom pods', '1 cinnamon stick, broken', '4 bay leaves', '6 whole cloves', '1 1/2 tablespoons ginger paste', '1 1/2 tablespoons garlic paste', '1/2 teaspoon ground turmeric', '1 pinch cayenne pepper, or more to taste', '1 cup canned tomato puree, or more to taste', '1 tablespoon chili powder', '2 tablespoons ground coriander', '1/4 cup butter', '2 tablespoons dried fenugreek leaves (optional)', '1/2 cup cream (optional)']","Place lentils and kidney beans in a large bowl; cover with plenty of water. Soak for at least 2 hours or overnight. Drain.
Cook lentils, kidney beans, 5 cups water, and salt in a pot over medium heat until tender, stirring occasionally, about 1 hour. Remove from heat and set aside. Keep the lentils, kidney beans, and any excess cooking water in the pot.
Heat vegetable oil in a saucepan over medium-high heat. Cook cumin seeds in the hot oil until they begin to pop, 1 to 2 minutes. Add cardamom pods, cinnamon stick, bay leaves, and cloves; cook until bay leaves turn brown, about 1 minute. Reduce heat to medium-low; add ginger paste, garlic paste, turmeric, and cayenne pepper. Stir to coat.
Stir tomato puree into spice mixture; cook over medium heat until slightly reduced, about 5 minutes. Add chili powder, coriander, and butter; cook and stir until butter is melted.
Stir lentils, kidney beans and any leftover cooking water into tomato mixture; bring to a boil, reduce heat to low. Stir fenugreek into lentil mixture. Cover saucepan and simmer until heated through, stirring occasionally, about 45 minutes. Add cream and cook until heated through, 2 to 4 minutes.
",https://images.media-allrecipes.com/images/74839.jpg?width=170&height=96
Spicy Peach Chutney,600,"['4 pounds sliced peeled peaches', '1 cup raisins', '2 cloves garlic, minced', '1/2 cup chopped onion', '5 ounces chopped preserved ginger', '1 1/2 tablespoons chili powder', '1 tablespoon mustard seed', '1 teaspoon curry powder', '4 cups packed brown sugar', '4 cups apple cider vinegar', '1/4 cup pickling spice']","In a large heavy pot, stir together the peaches, raisins, garlic, onion, preserved ginger, chili powder, mustard seed, curry powder, brown sugar and cider vinegar. Wrap the pickling spice in a cheesecloth bag, and place in the pot.
Bring to a boil, and cook over medium heat uncovered until the mixture reaches your desired consistency. It will take about 1 1/2 hours to get a good thick sauce. Stir frequently to prevent scorching on the bottom.
Remove the spice bag, and ladle into hot sterilized jars. Wipe the rims with a clean moist cloth. Seal with lids and rings, and process in a barely simmering water bath for 10 minutes, or the time recommended by your local extension for your area. The water should cover the jars completely.
",https://images.media-allrecipes.com/userphotos/250x250/1039317.jpg
Chicken Korma II,60,"['1/4 cup cashew halves', '1/4 cup boiling water', '3 cloves garlic, peeled', '1 (1/2 inch) piece fresh ginger root, peeled and chopped', '3 tablespoons vegetable oil', '2 bay leaves, crumbled', '1 large onion, minced', '1 teaspoon ground coriander', '1 teaspoon garam masala', '1 teaspoon ground cumin', '1 teaspoon ground turmeric', '1 teaspoon chili powder', '3 skinless, boneless chicken breast halves - diced', '1/4 cup tomato sauce', '1 cup chicken broth', '1/2 cup heavy cream', '1/2 cup plain yogurt', '1 teaspoon cornstarch, mixed with equal parts water']","Place cashews in a small bowl, and pour the boiling water over nuts. Set aside for 15 to 20 minutes. Place garlic and ginger in food processor and blend until smooth; set aside.
Heat oil in wok over medium heat. Cook the bay leaves in hot oil for 30 seconds. Stir in onion, and cook until soft, about 3 to 5 minutes. Mix in garlic/ginger paste, and season with coriander, garam masala, cumin, turmeric, and chili powder. Stir in chicken, and cook for about 5 minutes. Pour in tomato sauce and chicken broth. Cover, reduce heat, and simmer for 15 minutes, stirring occasionally.
Meanwhile, place the cashews, along with the water in which they were soaked, and the cream and yogurt into food processor. Process until smooth.
Stir the cashew mixture into the chicken and onions. Simmer for 15 minutes, stirring occasionally. Stir in the cornstarch mixture, and continue cooking for 1 to 2 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/42948.jpg
